Datetime,v1,v2
2025-01-12 13:03:20.845501,42,17
2025-01-12 13:03:21.845487,42,17
2025-01-12 13:03:22.849606,42,17
2025-01-12 13:03:23.855087,42,17
2025-01-12 13:03:24.845286,42,17
2025-01-12 13:03:25.849379,42,17
2025-01-12 13:03:26.843741,42,17
2025-01-12 13:03:27.847451,42,17
2025-01-12 13:03:28.856781,42,17
2025-01-12 13:03:29.844288,42,17
2025-01-12 13:03:30.843918,42,17
2025-01-12 13:03:31.849378,42,17
2025-01-12 13:03:32.856653,42,17
2025-01-12 13:03:33.847082,42,17
2025-01-12 13:03:34.846810,42,17
2025-01-12 13:03:35.844785,42,17
2025-01-12 13:03:36.848658,42,17
2025-01-12 13:03:37.854829,42,17
2025-01-12 13:03:38.845408,42,17
2025-01-12 13:03:39.855816,42,17
2025-01-12 13:03:40.856194,42,17
2025-01-12 13:03:41.854569,42,17
2025-01-12 13:03:42.851138,42,17
2025-01-12 13:03:43.849426,42,17
2025-01-12 13:03:44.856810,42,17
2025-01-12 13:03:45.850602,42,17
2025-01-12 13:03:46.851796,42,17
2025-01-12 13:03:47.843441,42,17
2025-01-12 13:03:48.844300,42,17
2025-01-12 13:03:49.844312,42,17
2025-01-12 13:03:50.848342,42,17
2025-01-12 13:03:51.847233,42,17
2025-01-12 13:03:52.841620,42,17
2025-01-12 13:03:53.842189,42,17
2025-01-12 13:03:54.849869,42,17
2025-01-12 13:03:55.856165,42,17
2025-01-12 13:03:56.844865,42,17
2025-01-12 13:03:57.844354,42,17
2025-01-12 13:03:58.842246,42,17
2025-01-12 13:03:59.845153,42,17
2025-01-12 13:04:00.846093,42,17
2025-01-12 13:04:01.856561,42,17
2025-01-12 13:04:02.848908,42,17
2025-01-12 13:04:03.844693,42,17
2025-01-12 13:04:04.841889,42,17
2025-01-12 13:04:05.844981,42,17
2025-01-12 13:04:06.849038,42,17
2025-01-12 13:04:07.841550,42,17
2025-01-12 13:04:08.849158,42,17
2025-01-12 13:04:09.846317,42,17
2025-01-12 13:04:10.851959,42,17
2025-01-12 13:04:11.856435,42,17
2025-01-12 13:04:12.846691,42,17
2025-01-12 13:04:13.854278,42,17
2025-01-12 13:04:14.856592,42,17
2025-01-12 13:04:15.855924,42,17
2025-01-12 13:04:16.856443,42,17
2025-01-12 13:04:17.846568,42,17
2025-01-12 13:04:18.855763,42,17
2025-01-12 13:04:19.840922,42,17
2025-01-12 13:04:20.852377,42,17
2025-01-12 13:04:21.844459,42,17
2025-01-12 13:04:22.840782,42,17
2025-01-12 13:04:23.847916,42,17
2025-01-12 13:04:24.842095,42,17
2025-01-12 13:04:25.855441,42,17
2025-01-12 13:04:26.843549,42,17
2025-01-12 13:04:27.844835,42,17
2025-01-12 13:04:28.843040,42,17
2025-01-12 13:04:29.848217,42,17
2025-01-12 13:04:30.846395,42,17
2025-01-12 13:04:31.842255,42,17
2025-01-12 13:04:32.841793,42,17
2025-01-12 13:04:33.847639,42,17
2025-01-12 13:04:34.842933,42,17
2025-01-12 13:04:35.846657,42,17
2025-01-12 13:04:36.855367,42,17
2025-01-12 13:04:37.848549,42,17
2025-01-12 13:04:38.847710,42,17
2025-01-12 13:04:39.855642,42,17
2025-01-12 13:04:40.842811,42,17
2025-01-12 13:04:41.846498,42,17
2025-01-12 13:04:42.846992,42,17
2025-01-12 13:04:43.843709,42,17
2025-01-12 13:04:44.855092,42,17
2025-01-12 13:04:45.855524,42,17
2025-01-12 13:04:46.843626,42,17
2025-01-12 13:04:47.844934,42,17
2025-01-12 13:04:48.844696,42,17
2025-01-12 13:04:49.848475,42,17
2025-01-12 13:04:50.851046,42,17
2025-01-12 13:04:51.854275,42,17
2025-01-12 13:04:52.845136,42,17
2025-01-12 13:04:53.848413,42,17
2025-01-12 13:04:54.852561,42,17
2025-01-12 13:04:55.846289,42,17
2025-01-12 13:04:56.848196,42,17
2025-01-12 13:04:57.855891,42,17
2025-01-12 13:04:58.846162,42,17
2025-01-12 13:04:59.848546,42,17
2025-01-12 13:05:00.854746,42,17
2025-01-12 13:05:01.845354,42,17
2025-01-12 13:05:02.855088,42,17
2025-01-12 13:05:03.844379,42,17
